word1,word2,,
type,category,,
types,categories,,
address,location,,
addresses,locations,,
user,account,,
users,accounts,,
usernames,accountIDs,,
username,accountID,,
perform,conduct,,
info,data,,
validation,verification,,
program,code,,
roots,origins,,
root,origin,,
ids,identities,,
id,identity,,
instances,cases,,
instance,case,,
sites,locales,,
site,locale,,
menu,listing,,
navigation,guidance,,
errors,faults,,
error,fault,,
top,the_first,,
settings,configs,,
setting,config,,
top,first,,
bottom,the_last,,
only,sole,,
fields,regions,,
field,region,,
updates,revises,,
update,revise,,
value,value,,
hours,hours,,
hour,hour,,
seconds,second,,
second,sec,,
products,items,,
product,item,,
inputs,imports,,
input,import,,
outputs,outport,,
output,outport,,
engines,motors,,
engine,motor,,
dbs,databases,,
db,database,,
exclude,eliminate,,
compose,assemble,,
cmds,commands,,
cmd,command,,
create,produce,,
steps,paces,,
step,pace,,
submissions,hand_ins,,
submission,hand_in,,
keys,tokens,,
key,token,,
files,docs,,
file,doc,,
original,originated,,
loggin,sign_in,,
logout,sign_out,,
browse,read,,
restore,recover,,
statuses,states,,
status,state,,
encode,encrypt,,
decode,decrypt,,
decoded,decrypted,,
remove,delete,,
dirs,paths,,
dir,path,,
static,undynamic,,
sequence,series,,
web,web,,
interfaces,APIs,,
interface,API,,
change,modify,,
modes,patterns,,
mode,pattern,,
speed,velocity,,
fastest,rapidest,,
fast,rapid,,
start,begin,,
end,stop,,
edit,modify,,
control,govern,,
next,following,,
amout,quantity,,
range,scope,,
new,novel,,
notes,memos,,
note,memo,,
faces,visages,,
face,visage,,
search,seek,,
now,current,,
songs,music,,
song,music,,
dates,time,,
date,time,,
robots,bots,,
suffix,ending,,
robot,bot,,
disable,deactived,,
color,hue,,
targets,goals,,
target,goal,,
workers,labourers,,
worker,labourer,,
rates,ratios,,
rate,ratio,,
storage,storing,,
limits,restrics,,
limit,restrict,,
favicons,web_icons,,
favicon,web_icon,,
stores,shops,,
store,shop,,
links,urls,,
link,url,,
rows,items,,
row,item,,
src,source,,
imgs,pics,,
img,pic,,
valid,verfied,,
attemps,tries,,
attempt,try,,
titles,names,,
title,name,,
entires,items,,
entry,item,,
albums,collections,,
album,collection,,
hosts,servers,,
host,server,,
apps,applications,,
app,application,,
blackliste,banned,,
GUI,UI,,
msgs,messages,,
msg,message,,
frontend,forepart,,
routes,journeies,,
route,journey,,
script,writing,,
timeout,overtime,,
enable,activated,,
logs,journals,,
log,journal,,
sys,system,,
existing,alive,,
minds,thoughts,,
mind,thought,,
chunks,portions,,
chunk,portion,,
words,vocables,,
word,vocable,,
results,outcomes,,
result,outcome,,
projects,design,,
project,design,,
objs,objects,,
obj,object,,
form,table,,
headers,headlines,,
header,headline,,
start,beginning,,
envs,enviorns,,
env,enviorn,,
frame,template,,
frame,template,,
eval,assess,,
expried,invalid,,
prepared,ready,,
bodies,contents,,
body,content,,
always,often,,
resonses,reactions,,
response,reaction,,
offline,disconnected,,
max,maximum,,
counts,totals,,
count,total,,
compress,condense,,
process,procedure,,
redirected,reguided,,
allowed,approved,,
schemes,plans,,
scheme,plan,,
notifications,notice,,
notification,notice,,
relevant,related,,
comments,replies,,
comment,reply,,
subscribers,emebers,,
subscriber,member,,
recipients,receivers,,
recipient,receiver,,
replies,responses,,
mailed,received,,
context,background,,
ok,yes,,
register,sign_up,,
reset,recreat,,
hide,cover,,
bakcup,standby,,
real,actual,,
notifiy,inform,,
ownership,proprietorship,,
preference,favourite,,
pubkey,public_key,,
parts,componets,,
part,component,,
check,collate,,
failure,defeat,,
success,victory,,
agent,deputy,,
attest,vertify,,
policies,guidelines,,
policy,guideline,,
measurements,mensurations,,
measurement,mensuration,,
group,teams,,
group,team,,
IMAGEWIDTH ,PICWIDTH ,,
IMAGELENGTH,PICLENGTH,,
COMPRESSION,shrinking,,
INTERPRETATION,explanation,,
CONFIGURATIONS,settings,,
CONFIGURATION,setting,,
BITSPERSAMPLE,bit_example,,
PHOTOMETRIC_INTERPRETATION,p_metric_interpre,,
FILLORDER,f_order,,
SAMPLESPERPIXEL,example_piexl,,
X_RESOLUTION ,x_resolu,,
Y_RESOLUTION,y_resolu,,
PLANAR_CONFIGURATION,planer_config,,
EXTRASAMPLES,extra_eg,,
SAMPLEFORMAT,eg_format,,
YCBCRSUBSAMPLING,y_sub_sampling,,
OPEN_INFO,start_info,,
_load_dispatch,l_dispatch,,
_write_dispatch,w_dispatch,,
compression ,shrinking,,
tags,labels,,
tag,label,,
photos,images,,
photo,image,,
fillorder,filldirective,,
send,upload,,
receive,load,,
authorized,approved,,
demos,examples,,
demo,example,,
return,back,,
like,prefer,,
rendered,displayed,,
silently,quietly,,
cleaned,clear,,
close,end,,
polls,votes,,
poll,vote,,
choices,selection,,
choice,selection,,
many,numerous,,
